/TP0/D (Vm=0.1) X,/TP0/D (Vm=0.1) Y,/TP0/D (Vm=0.2333333) X,/TP0/D (Vm=0.2333333) Y,/TP0/D (Vm=0.3666667) X,/TP0/D (Vm=0.3666667) Y,/TP0/D (Vm=0.5) X,/TP0/D (Vm=0.5) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.3)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.3)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.4)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.4)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.5)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.5)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.2)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.2)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.1)) X,abs(value(getData("/TP0/D" ?result "dc") "Vm" 0.1)) Y
-0.7,1.095739885393847e-08,-0.7,1.389350060254167e-07,-0.7,7.577139214876171e-07,-0.7,2.18228185529636e-06,-0.7,1.389350060254167e-07,-0.7,7.577139214876171e-07,-0.7,2.18228185529636e-06,-0.7,1.095739885393847e-08,-0.7,1.095739885393847e-08
-0.6719999999999999,7.940723474980712e-09,-0.6719999999999999,1.08655739027932e-07,-0.6719999999999999,6.531619128170736e-07,-0.6719999999999999,1.97599731522843e-06,-0.6719999999999999,1.08655739027932e-07,-0.6719999999999999,6.531619128170736e-07,-0.6719999999999999,1.97599731522843e-06,-0.6719999999999999,7.940723474980712e-09,-0.6719999999999999,7.940723474980712e-09
-0.6439999999999999,5.743478795112407e-09,-0.6439999999999999,8.401037428833439e-08,-0.6439999999999999,5.588586692426797e-07,-0.6439999999999999,1.782670738048179e-06,-0.6439999999999999,8.401037428833439e-08,-0.6439999999999999,5.588586692426797e-07,-0.6439999999999999,1.782670738048179e-06,-0.6439999999999999,5.743478795112407e-09,-0.6439999999999999,5.743478795112407e-09
-0.6159999999999999,4.148656710038458e-09,-0.6159999999999999,6.425322610458804e-08,-0.6159999999999999,4.743328770517224e-07,-0.6159999999999999,1.6019157277506e-06,-0.6159999999999999,6.425322610458804e-08,-0.6159999999999999,4.743328770517224e-07,-0.6159999999999999,1.6019157277506e-06,-0.6159999999999999,4.148656710038458e-09,-0.6159999999999999,4.148656710038458e-09
-0.5879999999999999,2.993978472649509e-09,-0.5879999999999999,4.865351902512653e-08,-0.5879999999999999,3.991053875907601e-07,-0.5879999999999999,1.433355787771974e-06,-0.5879999999999999,4.865351902512653e-08,-0.5879999999999999,3.991053875907601e-07,-0.5879999999999999,1.433355787771974e-06,-0.5879999999999999,2.993978472649509e-09,-0.5879999999999999,2.993978472649509e-09
-0.5599999999999998,2.159426195515496e-09,-0.5599999999999998,3.65148347639979e-08,-0.5599999999999998,3.326847806777946e-07,-0.5599999999999998,1.276622373922634e-06,-0.5599999999999998,3.65148347639979e-08,-0.5599999999999998,3.326847806777946e-07,-0.5599999999999998,1.276622373922634e-06,-0.5599999999999998,2.159426195515496e-09,-0.5599999999999998,2.159426195515496e-09
-0.5319999999999998,1.556956642947716e-09,-0.5319999999999998,2.719568843944498e-08,-0.5319999999999998,2.745628062113237e-07,-0.5319999999999998,1.131353023108898e-06,-0.5319999999999998,2.719568843944498e-08,-0.5319999999999998,2.745628062113237e-07,-0.5319999999999998,1.131353023108898e-06,-0.5319999999999998,1.556956642947716e-09,-0.5319999999999998,1.556956642947716e-09
-0.5039999999999998,1.122361361851708e-09,-0.5039999999999998,2.012614406731923e-08,-0.5039999999999998,2.242099548297106e-07,-0.5039999999999998,9.971893453825846e-07,-0.5039999999999998,2.012614406731923e-08,-0.5039999999999998,2.242099548297106e-07,-0.5039999999999998,9.971893453825846e-07,-0.5039999999999998,1.122361361851708e-09,-0.5039999999999998,1.122361361851708e-09
-0.4759999999999998,8.090095712022495e-10,-0.4759999999999998,1.481758156112228e-08,-0.4759999999999998,1.810716681390511e-07,-0.4759999999999998,8.73774832942597e-07,-0.4759999999999998,1.481758156112228e-08,-0.4759999999999998,1.810716681390511e-07,-0.4759999999999998,8.73774832942597e-07,-0.4759999999999998,8.090095712022495e-10,-0.4759999999999998,8.090095712022495e-10
-0.4479999999999997,5.831348860452157e-10,-0.4479999999999997,1.08647421028898e-08,-0.4479999999999997,1.44565981163395e-07,-0.4479999999999997,7.607524338355595e-07,-0.4479999999999997,1.08647421028898e-08,-0.4479999999999997,1.44565981163395e-07,-0.4479999999999997,7.607524338355595e-07,-0.4479999999999997,5.831348860452157e-10,-0.4479999999999997,5.831348860452157e-10
-0.4199999999999997,4.203351200205911e-10,-0.4199999999999997,7.941154029647415e-09,-0.4199999999999997,1.140836692606775e-07,-0.4199999999999997,6.577618334364063e-07,-0.4199999999999997,7.941154029647415e-09,-0.4199999999999997,1.140836692606775e-07,-0.4199999999999997,6.577618334364063e-07,-0.4199999999999997,4.203351200205911e-10,-0.4199999999999997,4.203351200205911e-10
-0.3919999999999997,3.02998780422312e-10,-0.3919999999999997,5.790172421705533e-09,-0.3919999999999997,8.899211295634685e-08,-0.3919999999999997,5.64436385722115e-07,-0.3919999999999997,5.790172421705533e-09,-0.3919999999999997,8.899211295634685e-08,-0.3919999999999997,5.64436385722115e-07,-0.3919999999999997,3.02998780422312e-10,-0.3919999999999997,3.02998780422312e-10
-0.3639999999999997,2.184260892283133e-10,-0.3639999999999997,4.214001307362139e-09,-0.3639999999999997,6.864389119505468e-08,-0.3639999999999997,4.803996430518467e-07,-0.3639999999999997,4.214001307362139e-09,-0.3639999999999997,6.864389119505468e-08,-0.3639999999999997,4.803996430518467e-07,-0.3639999999999997,2.184260892283133e-10,-0.3639999999999997,2.184260892283133e-10
-0.3359999999999996,1.574637470115931e-10,-0.3359999999999996,3.062555622124324e-09,-0.3359999999999996,5.239037628178226e-08,-0.3359999999999996,4.052614545350874e-07,-0.3359999999999996,3.062555622124324e-09,-0.3359999999999996,5.239037628178226e-08,-0.3359999999999996,4.052614545350874e-07,-0.3359999999999996,1.574637470115931e-10,-0.3359999999999996,1.574637470115931e-10
-0.3079999999999996,1.135162847524417e-10,-0.3079999999999996,2.223308830331646e-09,-0.3079999999999996,3.959933878653352e-08,-0.3079999999999996,3.386136496779708e-07,-0.3079999999999996,2.223308830331646e-09,-0.3079999999999996,3.959933878653352e-08,-0.3079999999999996,3.386136496779708e-07,-0.3079999999999996,1.135162847524417e-10,-0.3079999999999996,1.135162847524417e-10
-0.2799999999999996,8.183174166070423e-11,-0.2799999999999996,1.612654825419659e-09,-0.2799999999999996,2.967415311882116e-08,-0.2799999999999996,2.80025410569827e-07,-0.2799999999999996,1.612654825419659e-09,-0.2799999999999996,2.967415311882116e-08,-0.2799999999999996,2.80025410569827e-07,-0.2799999999999996,8.183174166070423e-11,-0.2799999999999996,8.183174166070423e-11
-0.2519999999999996,5.898631697478394e-11,-0.2519999999999996,1.168893859567218e-09,-0.2519999999999996,2.20713067849553e-08,-0.2519999999999996,2.290385797709051e-07,-0.2519999999999996,1.168893859567218e-09,-0.2519999999999996,2.20713067849553e-08,-0.2519999999999996,2.290385797709051e-07,-0.2519999999999996,5.898631697478394e-11,-0.2519999999999996,5.898631697478394e-11
-0.2239999999999996,4.25129192233912e-11,-0.2239999999999996,8.467197794467138e-10,-0.2239999999999996,1.631313750093609e-08,-0.2239999999999996,1.851633660253692e-07,-0.2239999999999996,8.467197794467138e-10,-0.2239999999999996,1.631313750093609e-08,-0.2239999999999996,1.851633660253692e-07,-0.2239999999999996,4.25129192233912e-11,-0.2239999999999996,4.25129192233912e-11
-0.1959999999999996,3.063357773581803e-11,-0.1959999999999996,6.129859421324967e-10,-0.1959999999999996,1.199404432113789e-08,-0.1959999999999996,1.478751907236516e-07,-0.1959999999999996,6.129859421324967e-10,-0.1959999999999996,1.199404432113789e-08,-0.1959999999999996,1.478751907236516e-07,-0.1959999999999996,3.063357773581803e-11,-0.1959999999999996,3.063357773581803e-11
-0.1679999999999996,2.206672291561547e-11,-0.1679999999999996,4.435061679818529e-10,-0.1679999999999996,8.780189707356376e-09,-0.1679999999999996,1.166137116093706e-07,-0.1679999999999996,4.435061679818529e-10,-0.1679999999999996,8.780189707356376e-09,-0.1679999999999996,1.166137116093706e-07,-0.1679999999999996,2.206672291561547e-11,-0.1679999999999996,2.206672291561547e-11
-0.1399999999999996,1.588838620803686e-11,-0.1399999999999996,3.206657669348192e-10,-0.1399999999999996,6.404111631633485e-09,-0.1399999999999996,9.078521766177074e-08,-0.1399999999999996,3.206657669348192e-10,-0.1399999999999996,6.404111631633485e-09,-0.1399999999999996,9.078521766177074e-08,-0.1399999999999996,1.588838620803686e-11,-0.1399999999999996,1.588838620803686e-11
-0.1119999999999996,1.143218034902014e-11,-0.1119999999999996,2.316515517333264e-10,-0.1119999999999996,4.656251708722033e-09,-0.1119999999999996,6.97691979618392e-08,-0.1119999999999996,2.316515517333264e-10,-0.1119999999999996,4.656251708722033e-09,-0.1119999999999996,6.97691979618392e-08,-0.1119999999999996,1.143218034902014e-11,-0.1119999999999996,1.143218034902014e-11
-0.08399999999999958,8.216695823795848e-12,-0.08399999999999958,1.671378344011975e-10,-0.08399999999999958,3.375085972428253e-09,-0.08399999999999958,5.29250053479381e-08,-0.08399999999999958,1.671378344011975e-10,-0.08399999999999958,3.375085972428253e-09,-0.08399999999999958,5.29250053479381e-08,-0.08399999999999958,8.216695823795848e-12,-0.08399999999999958,8.216695823795848e-12
