/TP0/D (Vc=0.9) X,/TP0/D (Vc=0.9) Y,/TP0/D (Vc=1.014286) X,/TP0/D (Vc=1.014286) Y,/TP0/D (Vc=1.128571) X,/TP0/D (Vc=1.128571) Y,/TP0/D (Vc=1.242857) X,/TP0/D (Vc=1.242857) Y,/TP0/D (Vc=1.357143) X,/TP0/D (Vc=1.357143) Y,/TP0/D (Vc=1.471429) X,/TP0/D (Vc=1.471429) Y,/TP0/D (Vc=1.585714) X,/TP0/D (Vc=1.585714) Y,/TP0/D (Vc=1.7) X,/TP0/D (Vc=1.7) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.7)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.7)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 0.9)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 0.9)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.1)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.1)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.2)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.2)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.3)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.3)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.4)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.4)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.6)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.6)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.0)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.0)) Y,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.5)) X,abs(value(getData("/TP0/D" ?result "dc") "Vc" 1.5)) Y
-0.7,7.867200546212125e-08,-0.7,2.113170862629047e-07,-0.7,4.715898314699629e-07,-0.7,9.056934222109127e-07,-0.7,1.559952176833378e-06,-0.7,2.487266428379675e-06,-0.7,3.865261527787453e-06,-0.7,7.22604966350015e-06,-0.7,7.22604966350015e-06,-0.7,7.867200546212125e-08,-0.7,2.113170862629047e-07,-0.7,4.715898314699629e-07,-0.7,9.056934222109127e-07,-0.7,1.559952176833378e-06,-0.7,3.865261527787453e-06,-0.7,7.867200546212125e-08,-0.7,2.487266428379675e-06
-0.6719999999999999,5.985549156495484e-08,-0.6719999999999999,1.683551612121547e-07,-0.6719999999999999,3.923897778863904e-07,-0.6719999999999999,7.788612644114567e-07,-0.6719999999999999,1.373478485904259e-06,-0.6719999999999999,2.226778356321246e-06,-0.6719999999999999,3.440951155227246e-06,-0.6719999999999999,6.066252011189514e-06,-0.6719999999999999,6.066252011189514e-06,-0.6719999999999999,5.985549156495484e-08,-0.6719999999999999,1.683551612121547e-07,-0.6719999999999999,3.923897778863904e-07,-0.6719999999999999,7.788612644114567e-07,-0.6719999999999999,1.373478485904259e-06,-0.6719999999999999,3.440951155227246e-06,-0.6719999999999999,5.985549156495484e-08,-0.6719999999999999,2.226778356321246e-06
-0.6439999999999999,4.510009640461287e-08,-0.6439999999999999,1.325645464473139e-07,-0.6439999999999999,3.232815102662506e-07,-0.6439999999999999,6.649528042258015e-07,-0.6439999999999999,1.203058946250201e-06,-0.6439999999999999,1.986332392811247e-06,-0.6439999999999999,3.08361700633977e-06,-0.6439999999999999,5.132231896170227e-06,-0.6439999999999999,5.132231896170227e-06,-0.6439999999999999,4.510009640461287e-08,-0.6439999999999999,1.325645464473139e-07,-0.6439999999999999,3.232815102662506e-07,-0.6439999999999999,6.649528042258015e-07,-0.6439999999999999,1.203058946250201e-06,-0.6439999999999999,3.08361700633977e-06,-0.6439999999999999,4.510009640461287e-08,-0.6439999999999999,1.986332392811247e-06
-0.6159999999999999,3.369435136141321e-08,-0.6159999999999999,1.031670908908196e-07,-0.6159999999999999,2.635604450419028e-07,-0.6159999999999999,5.632553369559565e-07,-0.6159999999999999,1.04786473792132e-06,-0.6159999999999999,1.764711123942504e-06,-0.6159999999999999,2.770301676772618e-06,-0.6159999999999999,4.41600050199457e-06,-0.6159999999999999,4.41600050199457e-06,-0.6159999999999999,3.369435136141321e-08,-0.6159999999999999,1.031670908908196e-07,-0.6159999999999999,2.635604450419028e-07,-0.6159999999999999,5.632553369559565e-07,-0.6159999999999999,1.04786473792132e-06,-0.6159999999999999,2.770301676772618e-06,-0.6159999999999999,3.369435136141321e-08,-0.6159999999999999,1.764711123942504e-06
-0.5879999999999999,2.49923816599913e-08,-0.5879999999999999,7.938105918463069e-08,-0.5879999999999999,2.125082247027016e-07,-0.5879999999999999,4.73067226273196e-07,-0.5879999999999999,9.071144274211163e-07,-0.5879999999999999,1.560949769692925e-06,-0.5879999999999999,2.487383446318985e-06,-0.5879999999999999,3.872418150605853e-06,-0.5879999999999999,3.872418150605853e-06,-0.5879999999999999,2.49923816599913e-08,-0.5879999999999999,7.938105918463069e-08,-0.5879999999999999,2.125082247027016e-07,-0.5879999999999999,4.73067226273196e-07,-0.5879999999999999,9.071144274211163e-07,-0.5879999999999999,2.487383446318985e-06,-0.5879999999999999,2.49923816599913e-08,-0.5879999999999999,1.560949769692925e-06
-0.5599999999999998,1.842857550441265e-08,-0.5599999999999998,6.042855595126732e-08,-0.5599999999999998,1.693886747878066e-07,-0.5599999999999998,3.936907968108739e-07,-0.5599999999999998,7.800544789046443e-07,-0.5599999999999998,1.374141485439675e-06,-0.5599999999999998,2.226474466042516e-06,-0.5599999999999998,3.442776893906123e-06,-0.5599999999999998,3.442776893906123e-06,-0.5599999999999998,1.842857550441265e-08,-0.5599999999999998,6.042855595126732e-08,-0.5599999999999998,1.693886747878066e-07,-0.5599999999999998,3.936907968108739e-07,-0.5599999999999998,7.800544789046443e-07,-0.5599999999999998,2.226474466042516e-06,-0.5599999999999998,1.842857550441265e-08,-0.5599999999999998,1.374141485439675e-06
-0.5319999999999998,1.352478591342053e-08,-0.5319999999999998,4.555444890414206e-08,-0.5319999999999998,1.334463212836976e-07,-0.5319999999999998,3.244261591201634e-07,-0.5319999999999998,6.659533276494544e-07,-0.5319999999999998,1.203426891883289e-06,-0.5319999999999998,1.98554449586445e-06,-0.5319999999999998,3.082527731479639e-06,-0.5319999999999998,3.082527731479639e-06,-0.5319999999999998,1.352478591342053e-08,-0.5319999999999998,4.555444890414206e-08,-0.5319999999999998,1.334463212836976e-07,-0.5319999999999998,3.244261591201634e-07,-0.5319999999999998,6.659533276494544e-07,-0.5319999999999998,1.98554449586445e-06,-0.5319999999999998,1.352478591342053e-08,-0.5319999999999998,1.203426891883289e-06
-0.5039999999999998,9.889576055482299e-09,-0.5039999999999998,3.404789156654919e-08,-0.5039999999999998,1.039088439690235e-07,-0.5039999999999998,2.645652355241165e-07,-0.5039999999999998,5.640954281788449e-07,-0.5039999999999998,1.047986987441165e-06,-0.5039999999999998,1.763506153265813e-06,-0.5039999999999998,2.767357867383418e-06,-0.5039999999999998,2.767357867383418e-06,-0.5039999999999998,9.889576055482299e-09,-0.5039999999999998,3.404789156654919e-08,-0.5039999999999998,1.039088439690235e-07,-0.5039999999999998,2.645652355241165e-07,-0.5039999999999998,5.640954281788449e-07,-0.5039999999999998,1.763506153265813e-06,-0.5039999999999998,9.889576055482299e-09,-0.5039999999999998,1.047986987441165e-06
-0.4759999999999998,7.21125171488598e-09,-0.4759999999999998,2.52625373670862e-08,-0.4759999999999998,7.999475685650032e-08,-0.4759999999999998,2.133864613962188e-07,-0.4759999999999998,4.737752078011495e-07,-0.4759999999999998,9.070367696348114e-07,-0.4759999999999998,1.55938960859768e-06,-0.4759999999999998,2.483575647129207e-06,-0.4759999999999998,2.483575647129207e-06,-0.4759999999999998,7.21125171488598e-09,-0.4759999999999998,2.52625373670862e-08,-0.4759999999999998,7.999475685650032e-08,-0.4759999999999998,2.133864613962188e-07,-0.4759999999999998,4.737752078011495e-07,-0.4759999999999998,1.55938960859768e-06,-0.4759999999999998,7.21125171488598e-09,-0.4759999999999998,9.070367696348114e-07
-0.4479999999999997,5.24723320531285e-09,-0.4479999999999997,1.863154078937761e-08,-0.4479999999999997,6.092691613027215e-08,-0.4479999999999997,1.701509414664949e-07,-0.4479999999999997,3.942909209017262e-07,-0.4479999999999997,7.798191292062696e-07,-0.4479999999999997,1.372284031332315e-06,-0.4479999999999997,2.222098780171622e-06,-0.4479999999999997,2.222098780171622e-06,-0.4479999999999997,5.24723320531285e-09,-0.4479999999999997,1.863154078937761e-08,-0.4479999999999997,6.092691613027215e-08,-0.4479999999999997,1.701509414664949e-07,-0.4479999999999997,3.942909209017262e-07,-0.4479999999999997,1.372284031332315e-06,-0.4479999999999997,5.24723320531285e-09,-0.4479999999999997,7.798191292062696e-07
