s1 ,value(logi "sm" 0.5) (A)
-700.0E-3,23.88E-6
-650.0E-3,20.53E-6
-600.0E-3,17.33E-6
-550.0E-3,14.32E-6
-500.0E-3,11.53E-6
-450.0E-3,9.002E-6
-400.0E-3,6.781E-6
-350.0E-3,4.890E-6
-300.0E-3,3.337E-6
-250.0E-3,2.118E-6
-200.0E-3,1.218E-6
-150.0E-3,608.7E-9
-100.0E-3,247.5E-9
-50.00E-3,70.44E-9
0.000,221.0E-18
50.00E-3,26.20E-9
100.0E-3,41.44E-9
150.0E-3,58.03E-9
200.0E-3,79.14E-9
250.0E-3,106.1E-9
300.0E-3,140.1E-9
350.0E-3,182.1E-9
400.0E-3,233.1E-9
450.0E-3,294.1E-9
500.0E-3,366.1E-9
550.0E-3,449.9E-9
600.0E-3,546.3E-9
650.0E-3,655.9E-9
700.0E-3,779.5E-9
