abs(i("/TP0/D" ?result "dc")) (sm=0.1) X,abs(i("/TP0/D" ?result "dc")) (sm=0.1) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.2) X,abs(i("/TP0/D" ?result "dc")) (sm=0.2) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.3) X,abs(i("/TP0/D" ?result "dc")) (sm=0.3) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.4) X,abs(i("/TP0/D" ?result "dc")) (sm=0.4) Y,abs(i("/TP0/D" ?result "dc")) (sm=0.5) X,abs(i("/TP0/D" ?result "dc")) (sm=0.5) Y
-0.7,7.723743359719864e-06,-0.7,1.138828169031229e-05,-0.7,1.566180413352361e-05,-0.7,2.018292404733335e-05,-0.7,2.388343542319222e-05
-0.6499999999999999,5.622651573103957e-06,-0.6499999999999999,8.787581577554402e-06,-0.6499999999999999,1.260523410617763e-05,-0.6499999999999999,1.675730611788244e-05,-0.6499999999999999,2.053216124857384e-05
-0.5999999999999999,3.881908442742333e-06,-0.5999999999999999,6.53467427971124e-06,-0.5999999999999999,9.87329693658445e-06,-0.5999999999999999,1.362261570487589e-05,-0.5999999999999999,1.733107215771054e-05
-0.5499999999999998,2.499380565164142e-06,-0.5499999999999998,4.637639465940029e-06,-0.5499999999999998,7.480686634746465e-06,-0.5499999999999998,1.080060670159083e-05,-0.5499999999999998,1.431626519806389e-05
-0.4999999999999998,1.463321383585353e-06,-0.4999999999999998,3.097835843074743e-06,-0.4999999999999998,5.437633237438932e-06,-0.4999999999999998,8.307384486006914e-06,-0.4999999999999998,1.152672115195413e-05
-0.4499999999999998,7.496663622851309e-07,-0.4499999999999998,1.908097626230818e-06,-0.4499999999999998,3.748432424928752e-06,-0.4499999999999998,6.154782269058305e-06,-0.4499999999999998,9.002081479029207e-06
-0.3999999999999999,3.178891331212941e-07,-0.3999999999999999,1.050513868223755e-06,-0.3999999999999999,2.409792868791454e-06,-0.3999999999999999,4.349291955210404e-06,-0.3999999999999999,6.780755711418166e-06
-0.3499999999999999,1.05207238413432e-07,-0.3499999999999999,4.932619024915505e-07,-0.3499999999999999,1.408915092406289e-06,-0.3499999999999999,2.89057956458928e-06,-0.3499999999999999,4.889766260406197e-06
-0.2999999999999999,2.725961760837179e-08,-0.2999999999999999,1.856941929543521e-07,-0.2999999999999999,7.20998879506326e-07,-0.2999999999999999,1.769768142051834e-06,-0.2999999999999999,3.337120109018801e-06
-0.2499999999999999,6.116190069094862e-09,-0.2499999999999999,5.385393955607742e-08,-0.2499999999999999,3.054975953877976e-07,-0.2499999999999999,9.673489204454646e-07,-0.2499999999999999,2.118198253090363e-06
