abs(i("/TP1/D" ?result "dc")) X,abs(i("/TP1/D" ?result "dc")) Y
-0.7,2.982084769364987e-09
-0.6499999999999999,2.154846134879157e-09
-0.5999999999999999,1.553486672201081e-09
-0.5499999999999998,1.117347367245197e-09
-0.4999999999999998,8.017781518872167e-10
-0.4499999999999998,5.73957445660895e-10
-0.3999999999999999,4.098422922694677e-10
-0.3499999999999999,2.918726117828212e-10
-0.2999999999999999,2.072563692364003e-10
-0.2499999999999999,1.466956170455441e-10
-0.1999999999999999,1.03440477095911e-10
-0.1499999999999999,7.256367727492037e-11
-0.09999999999999991,5.02118172395226e-11
-0.04999999999999991,3.137927285033446e-11
0,2.210046166842076e-16
0.05,1.055367344488028e-10
0.1,5.673493994437125e-10
0.15,2.739073619760148e-09
0.2,1.272585768682237e-08
0.25,5.385393889061715e-08
0.3,1.856941918820584e-07
0.35,4.93261900704431e-07
0.4,1.050513865433049e-06
0.45,1.908097622170469e-06
0.4999999999999999,3.097835837486816e-06
0.5499999999999999,4.637639458562796e-06
0.6,6.534674270265246e-06
0.65,8.787581565731152e-06
0.7,1.138828188642342e-05
