abs(i("/TP1/D" ?result "dc")) (sc=0.9) X,abs(i("/TP1/D" ?result "dc")) (sc=0.9) Y,abs(i("/TP1/D" ?result "dc")) (sc=1) X,abs(i("/TP1/D" ?result "dc")) (sc=1) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.1) X,abs(i("/TP1/D" ?result "dc")) (sc=1.1) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.2) X,abs(i("/TP1/D" ?result "dc")) (sc=1.2) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.3) X,abs(i("/TP1/D" ?result "dc")) (sc=1.3) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.4) X,abs(i("/TP1/D" ?result "dc")) (sc=1.4) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.5) X,abs(i("/TP1/D" ?result "dc")) (sc=1.5) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.6) X,abs(i("/TP1/D" ?result "dc")) (sc=1.6) Y,abs(i("/TP1/D" ?result "dc")) (sc=1.7) X,abs(i("/TP1/D" ?result "dc")) (sc=1.7) Y
-0.7,2.982084769364987e-09,-0.7,8.401667558184178e-09,-0.7,2.318768007453923e-08,-0.7,6.099415362414095e-08,-0.7,1.470117000965155e-07,-0.7,3.158940574649284e-07,-0.7,6.050040578344063e-07,-0.7,1.051052199858066e-06,-0.7,1.691041355104654e-06
-0.6499999999999999,2.154846134879157e-09,-0.6499999999999999,6.105278520839444e-09,-0.6499999999999999,1.703810621999349e-08,-0.6499999999999999,4.575643676500149e-08,-0.6499999999999999,1.138566968211476e-07,-0.6499999999999999,2.537745351464596e-07,-0.6499999999999999,5.026330656156176e-07,-0.6499999999999999,8.972555945124584e-07,-0.6499999999999999,1.474176917098589e-06
-0.5999999999999999,1.553486672201081e-09,-0.5999999999999999,4.423233511720488e-09,-0.5999999999999999,1.245468540763044e-08,-0.5999999999999999,3.403569080188883e-08,-0.5999999999999999,8.718709452236695e-08,-0.5999999999999999,2.015148610873678e-07,-0.5999999999999999,4.133787867322264e-07,-0.5999999999999999,7.597491616200746e-07,-0.5999999999999999,1.276878899031185e-06
-0.5499999999999998,1.117347367245197e-09,-0.5499999999999998,3.195175234336216e-09,-0.5499999999999998,9.063087510554196e-09,-0.5499999999999998,2.512733801244552e-08,-0.5499999999999998,6.604662219284669e-08,-0.5499999999999998,1.581153879734765e-07,-0.5499999999999998,3.363251441196009e-07,-0.5499999999999998,6.376596496810418e-07,-0.5499999999999998,1.098242463851182e-06
-0.4999999999999998,8.017781518872167e-10,-0.4999999999999998,2.301648443331083e-09,-0.4999999999999998,6.568587819922116e-09,-0.4999999999999998,1.842800895859078e-08,-0.4999999999999998,4.952915572193897e-08,-0.4999999999999998,1.225768817846324e-07,-0.4999999999999998,2.705270354321982e-07,-0.4999999999999998,5.300984030745829e-07,-0.4999999999999998,9.37379029124155e-07
-0.4499999999999998,5.73957445660895e-10,-0.4499999999999998,1.653495127746366e-09,-0.4499999999999998,4.743263284637026e-09,-0.4499999999999998,1.34360857475004e-08,-0.4499999999999998,3.679976371217889e-08,-0.4499999999999998,9.389951048025018e-08,-0.4499999999999998,2.150104410597501e-07,-0.4499999999999998,4.361551504710877e-07,-0.4499999999999998,7.933952100709537e-07
-0.3999999999999999,4.098422922694677e-10,-0.3999999999999999,1.184623917838679e-09,-0.3999999999999999,3.413406989182012e-09,-0.3999999999999999,9.745534390773803e-09,-0.3999999999999999,2.711328030920367e-08,-0.3999999999999999,7.110254635869329e-08,-0.3999999999999999,1.687758588503543e-07,-0.3999999999999999,3.548939442252687e-07,-0.3999999999999999,6.653866909636659e-07
-0.3499999999999999,2.918726117828212e-10,-0.3499999999999999,8.463109809936752e-10,-0.3499999999999999,2.448174655131543e-09,-0.3499999999999999,7.035192996967351e-09,-0.3499999999999999,1.982570512988173e-08,-0.3499999999999999,5.324752611453173e-08,-0.3499999999999999,1.30806085172633e-07,-0.3499999999999999,2.853501475309415e-07,-0.3499999999999999,5.524314632817986e-07
-0.2999999999999999,2.072563692364003e-10,-0.2999999999999999,6.027961295332809e-10,-0.2999999999999999,1.749923054873479e-09,-0.2999999999999999,5.055896037456495e-09,-0.2999999999999999,1.439730825337865e-08,-0.2999999999999999,3.946186147237894e-08,-0.2999999999999999,1.000790508108217e-07,-0.2999999999999999,2.265288120602502e-07,-0.2999999999999999,4.535810088133783e-07
-0.2499999999999999,1.466956170455441e-10,-0.2499999999999999,4.279275493693652e-10,-0.2499999999999999,1.246315129702422e-09,-0.2499999999999999,3.617342950135614e-09,-0.2499999999999999,1.038816495390066e-08,-0.2499999999999999,2.895903051344257e-08,-0.2499999999999999,7.558527404759108e-08,-0.2499999999999999,1.774037194580328e-07,-0.2499999999999999,3.678436921878255e-07
