dB20(mag(v("/net5" ?result "ac"))) X,dB20(mag(v("/net5" ?result "ac"))) Y,phaseDeg(v("/net5" ?result "ac")) X,phaseDeg(v("/net5" ?result "ac")) Y
1,-0.01921366394194899,1,-0.004602851388258231
1.380384264602885,-0.01921368796763865,1.380384264602885,-0.006353703697947837
1.905460717963247,-0.01921373294998115,1.905460717963247,-0.008770552491476879
2.630267991895382,-0.01921381898548835,2.630267991895382,-0.0121067325147501
3.630780547701013,-0.01921398320849131,3.630780547701013,-0.01671194290342102
5.011872336272722,-0.01921429594041954,5.011872336272722,-0.02306890242043829
6.918309709189363,-0.01921489186055113,6.918309709189363,-0.03184394836892196
9.549925860214357,-0.0192160274440116,9.549925860214357,-0.0439568813685494
13.18256738556407,-0.01921819149101164,13.18256738556407,-0.06067737776331791
18.19700858609983,-0.0192223148240603,18.19700858609983,-0.08375807162623559
25.11886431509579,-0.01923017154806773,25.11886431509579,-0.1156182555338443
34.67368504525314,-0.01924514201343624,34.67368504525314,-0.1595974390886493
47.86300923226381,-0.01927370765909259,47.86300923226381,-0.2203053135950362
66.06934480075955,-0.01932806114052893,66.06934480075955,-0.3041047301273981
91.2010839355909,-0.01943162852522093,91.2010839355909,-0.4197780955207461
125.8925411794166,-0.01962902137043051,125.8925411794166,-0.5794464382859155
173.7800828749374,-0.02000502949397754,173.7800828749374,-0.7998361392775253
239.8832919019488,-0.02072145029203433,239.8832919019488,-1.104022083324974
331.1311214825907,-0.02208616317638977,331.1311214825907,-1.52381999902619
457.0881896148745,-0.02468528450611404,457.0881896148745,-2.103051881079992
630.9573444801925,-0.02963359488416125,630.9573444801925,-2.901956574385112
870.9635899560797,-0.03904677954704031,870.9635899560797,-4.003026562799326
1202.264434617412,-0.05692726117759932,1202.264434617412,-5.518409188343047
1659.586907437559,-0.09079652242436789,1659.586907437559,-7.598447542714177
2290.86765276777,-0.1546148469453369,2290.86765276777,-10.43927048329502
3162.277660168375,-0.2736957656258386,3162.277660168375,-14.28323815978362
4365.158322401654,-0.4919887603743062,4365.158322401654,-19.39764091656301
6025.59586074357,-0.8799733215619597,6025.59586074357,-26.00564873811363
8317.637711026699,-1.535691990070946,8317.637711026699,-34.14643438518221
11481.53621496881,-2.564990320894376,11481.53621496881,-43.50472458166214
15848.93192461111,-4.036399109010544,15848.93192461111,-53.37798581495139
21877.61623949549,-5.941586120429461,21877.61623949549,-62.93740561203433
30199.51720402011,-8.204590527600777,30199.51720402011,-71.61868280885507
41686.93834703347,-10.73114901550472,41686.93834703347,-79.2957971291369
57543.99373371559,-13.45212072042273,57543.99373371559,-86.17368108669302
79432.823472428,-16.34071362009203,79432.823472428,-92.57758228242866
109647.8196143183,-19.41009429468336,109647.8196143183,-98.75405377046312
151356.1248436205,-22.69528257884806,151356.1248436205,-104.7066297296236
208929.6130854035,-26.21726718365268,208929.6130854035,-110.1395532114592
288403.15031266,-29.94766064897529,288403.15031266,-114.6478973974322
398107.1705534965,-33.81838349627766,398107.1705534965,-118.0688747919787
549540.8738576234,-37.77941677123921,549540.8738576234,-120.5937547905998
758577.5750291821,-41.8460757168788,758577.5750291821,-122.5031164569428
1047128.548050897,-46.10819385755644,1047128.548050897,-123.7518184417589
1445439.770745924,-50.70228478782376,1445439.770745924,-123.4908348101078
1995262.314968875,-55.73381726288087,1995262.314968875,-119.5698472960626
2754228.70333816,-61.09674445018013,2754228.70333816,-107.8900428087149
3801893.963205602,-65.84078489705408,3801893.963205602,-83.0231266417147
5248074.602497713,-67.92168567746185,5248074.602497713,-50.36125503399783
7244359.600749882,-67.79387016400221,7244359.600749882,-26.37677041364043
10000000,-67.24224071865223,10000000,-11.58264891393108
