dB20(mag(v("/net5" ?result "ac"))) X,dB20(mag(v("/net5" ?result "ac"))) Y,phaseDeg(v("/net5" ?result "ac")) X,phaseDeg(v("/net5" ?result "ac")) Y
1,-0.01921705069282735,1,-0.004530996767942366
1.380384264602885,-0.01921707394602546,1.380384264602885,-0.006254516630608913
1.905460717963247,-0.01921711825408884,1.905460717963247,-0.008633636311116282
2.630267991895382,-0.01921720268134853,2.630267991895382,-0.01191773563527656
3.630780547701013,-0.01921736355418559,3.630780547701013,-0.0164510545436456
5.011872336272722,-0.01921767009103589,5.011872336272722,-0.02270877631004302
6.918309709189363,-0.01921825418489839,6.918309709189363,-0.03134683612395178
9.549925860214357,-0.01921936715259224,9.549925860214357,-0.04327067574601165
13.18256738556407,-0.01922148786803011,13.18256738556407,-0.05973015049013504
18.19700858609983,-0.01922552880513718,18.19700858609983,-0.08245053505976511
25.11886431509579,-0.01923322864168509,25.11886431509579,-0.1138133559762055
34.67368504525314,-0.01924790034012175,34.67368504525314,-0.1571059941236028
47.86300923226381,-0.01927585654846338,47.86300923226381,-0.2168661908969056
66.06934480075955,-0.01932912550902206,66.06934480075955,-0.2993574905009445
91.2010839355909,-0.01943062662687735,91.2010839355909,-0.4132252474347405
125.8925411794166,-0.01962402556547458,125.8925411794166,-0.5704014181389689
173.7800828749374,-0.01999251599201375,173.7800828749374,-0.7873515462286553
239.8832919019488,-0.02069457400401049,239.8832919019488,-1.086790890540177
331.1311214825907,-0.02203200445040403,331.1311214825907,-1.50003970174358
457.0881896148745,-0.02457929202096345,457.0881896148745,-2.070238598764737
630.9573444801925,-0.02942892942841426,630.9573444801925,-2.856693191356602
870.9635899560797,-0.03865481977250486,870.9635899560797,-3.940626220522997
1202.264434617412,-0.0561805233860576,1202.264434617412,-5.432481612416132
1659.586907437559,-0.08938127916500395,1659.586907437559,-7.480375810431141
2290.86765276777,-0.1519525481290049,2290.86765276777,-10.2776780783032
3162.277660168375,-0.2687496496878437,3162.277660168375,-14.06368964741175
4365.158322401654,-0.4829969230854499,4365.158322401654,-19.10313511190055
6025.59586074357,-0.8642146922949252,6025.59586074357,-25.61872765211691
8317.637711026699,-1.509606361199109,8317.637711026699,-33.65304757469575
11481.53621496881,-2.52503911262118,11481.53621496881,-42.89677965074531
15848.93192461111,-3.980315907234827,15848.93192461111,-52.64816505864333
21877.61623949549,-5.868482672787055,21877.61623949549,-62.06525726376594
30199.51720402011,-8.112982397764672,30199.51720402011,-70.55857762004379
41686.93834703347,-10.61579969348315,41686.93834703347,-77.97648290321466
57543.99373371559,-13.30074480561767,57543.99373371559,-84.51077186654724
79432.823472428,-16.13101208963812,79432.823472428,-90.5023975883269
109647.8196143183,-19.10920012245873,109647.8196143183,-96.26732425060175
151356.1248436205,-22.26698981743829,151356.1248436205,-101.9467017518592
208929.6130854035,-25.64012533268138,208929.6130854035,-107.395926082519
288403.15031266,-29.22956352943966,288403.15031266,-112.2359317990757
398107.1705534965,-32.98206448255821,398107.1705534965,-116.162089042692
549540.8738576234,-36.82894522004059,549540.8738576234,-119.2545214358091
758577.5750291821,-40.75302693739555,758577.5750291821,-121.8950690110482
1047128.548050897,-44.81987648995943,1047128.548050897,-124.3438640952353
1445439.770745924,-49.15650244459743,1445439.770745924,-126.2667163573331
1995262.314968875,-53.88888769034412,1995262.314968875,-126.405488142096
2754228.70333816,-59.06501118652618,2754228.70333816,-122.3957750753457
3801893.963205602,-64.50892125956537,3801893.963205602,-110.2894553141087
5248074.602497713,-69.23393383871061,5248074.602497713,-85.32051732191242
7244359.600749882,-71.33440097344001,7244359.600749882,-53.4354881524317
10000000,-71.32209898464895,10000000,-30.11299850222529
