Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
R Squared, , 0.901667, 0.902489
I0.C2:mmcap, 0.00892165, 0.0027987, 0.0150446
I0.C3:mmcap, 0.000896962, 0.00179392, 0
I0.C4:mmcap, 0.00487758, 0.00734898, 0.00240619
I0.TN0:mbeta, 0.00898211, 0.00260237, 0.0153618
I0.TN0:mvth0, 0.00959971, 0, 0.0191994
I0.TN13:mbeta, 0.0101377, 0.0188067, 0.00146865
I0.TN13:mvth0, 0.001365, 0.00273001, 0
I0.TN14:mbeta, 0.000813498, 0, 0.001627
I0.TN14:mvth0, 0.00410172, 0.00750413, 0.00069932
I0.TN15:mbeta, 0.0165775, 0.00747534, 0.0256797
I0.TN15:mvth0, 0.000721329, 0, 0.00144266
I0.TN16:mbeta, 0.012993, 0.00612251, 0.0198634
I0.TN16:mvth0, 0.00337242, 0, 0.00674484
I0.TN3:mbeta, 0.0190309, 0.00885437, 0.0292074
I0.TN3:mvth0, 0.112796, 0.128391, 0.0972006
I0.TN4:mbeta, 0, 0, 0
I0.TN4:mvth0, 0.0764546, 0.0215426, 0.131367
I0.TN5:mbeta, 0.0062267, 0.00202739, 0.010426
I0.TN5:mvth0, 0.150407, 0.26933, 0.0314841
I0.TP10:mbeta, 0.0123014, 0, 0.0246027
I0.TP10:mvth0, 0.00237944, 0, 0.00475887
I0.TP1:mbeta, 0.00165343, 0, 0.00330686
I0.TP1:mvth0, 0.00396821, 0.00747534, 0.000461076
I0.TP2:mbeta, 0.00302654, 0.0027987, 0.00325439
I0.TP2:mvth0, 0.00432932, 0.0040685, 0.00459014
I0.TP3:mbeta, 0.00389688, 0, 0.00779376
I0.TP3:mvth0, 0.0774007, 0.000993546, 0.153808
I0.TP4:mbeta, 0.0987825, 0.0207893, 0.176776
I0.TP4:mvth0, 0.0182828, 0.0059398, 0.0306258
I0.TP5:mbeta, 0.0344149, 0.00128746, 0.0675424
I0.TP5:mvth0, 0.0220433, 0, 0.0440867
