Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
1,kappalib:pixel_tweak_tb:1,off,15,,,
1,kappalib:pixel_tweak_tb:1,on,16,,,
2,kappalib:pixel_tweak_tb:1,off,16,,,
2,kappalib:pixel_tweak_tb:1,on,16,,,
3,kappalib:pixel_tweak_tb:1,off,17,,,
3,kappalib:pixel_tweak_tb:1,on,16,,,
4,kappalib:pixel_tweak_tb:1,off,18,,,
4,kappalib:pixel_tweak_tb:1,on,16,,,
5,kappalib:pixel_tweak_tb:1,off,16,,,
5,kappalib:pixel_tweak_tb:1,on,16,,,
6,kappalib:pixel_tweak_tb:1,off,17,,,
6,kappalib:pixel_tweak_tb:1,on,16,,,
7,kappalib:pixel_tweak_tb:1,off,16,,,
7,kappalib:pixel_tweak_tb:1,on,18,,,
8,kappalib:pixel_tweak_tb:1,off,17,,,
8,kappalib:pixel_tweak_tb:1,on,16,,,
9,kappalib:pixel_tweak_tb:1,off,17,,,
9,kappalib:pixel_tweak_tb:1,on,16,,,
10,kappalib:pixel_tweak_tb:1,off,16,,,
10,kappalib:pixel_tweak_tb:1,on,16,,,
11,kappalib:pixel_tweak_tb:1,off,18,,,
11,kappalib:pixel_tweak_tb:1,on,16,,,
12,kappalib:pixel_tweak_tb:1,off,17,,,
12,kappalib:pixel_tweak_tb:1,on,16,,,
13,kappalib:pixel_tweak_tb:1,off,16,,,
13,kappalib:pixel_tweak_tb:1,on,16,,,
14,kappalib:pixel_tweak_tb:1,off,16,,,
14,kappalib:pixel_tweak_tb:1,on,16,,,
15,kappalib:pixel_tweak_tb:1,off,17,,,
15,kappalib:pixel_tweak_tb:1,on,16,,,
16,kappalib:pixel_tweak_tb:1,off,17,,,
16,kappalib:pixel_tweak_tb:1,on,16,,,
17,kappalib:pixel_tweak_tb:1,off,14,,,
17,kappalib:pixel_tweak_tb:1,on,16,,,
18,kappalib:pixel_tweak_tb:1,off,16,,,
18,kappalib:pixel_tweak_tb:1,on,16,,,
19,kappalib:pixel_tweak_tb:1,off,16,,,
19,kappalib:pixel_tweak_tb:1,on,16,,,
20,kappalib:pixel_tweak_tb:1,off,17,,,
20,kappalib:pixel_tweak_tb:1,on,16,,,
21,kappalib:pixel_tweak_tb:1,off,19,,,
21,kappalib:pixel_tweak_tb:1,on,14,,,
22,kappalib:pixel_tweak_tb:1,off,17,,,
22,kappalib:pixel_tweak_tb:1,on,16,,,
23,kappalib:pixel_tweak_tb:1,off,17,,,
23,kappalib:pixel_tweak_tb:1,on,16,,,
24,kappalib:pixel_tweak_tb:1,off,17,,,
24,kappalib:pixel_tweak_tb:1,on,14,,,
25,kappalib:pixel_tweak_tb:1,off,15,,,
25,kappalib:pixel_tweak_tb:1,on,16,,,
26,kappalib:pixel_tweak_tb:1,off,16,,,
26,kappalib:pixel_tweak_tb:1,on,18,,,
27,kappalib:pixel_tweak_tb:1,off,17,,,
27,kappalib:pixel_tweak_tb:1,on,16,,,
28,kappalib:pixel_tweak_tb:1,off,15,,,
28,kappalib:pixel_tweak_tb:1,on,16,,,
29,kappalib:pixel_tweak_tb:1,off,16,,,
29,kappalib:pixel_tweak_tb:1,on,16,,,
30,kappalib:pixel_tweak_tb:1,off,18,,,
30,kappalib:pixel_tweak_tb:1,on,16,,,
31,kappalib:pixel_tweak_tb:1,off,18,,,
31,kappalib:pixel_tweak_tb:1,on,16,,,
32,kappalib:pixel_tweak_tb:1,off,16,,,
32,kappalib:pixel_tweak_tb:1,on,16,,,
33,kappalib:pixel_tweak_tb:1,off,17,,,
33,kappalib:pixel_tweak_tb:1,on,16,,,
34,kappalib:pixel_tweak_tb:1,off,15,,,
34,kappalib:pixel_tweak_tb:1,on,16,,,
35,kappalib:pixel_tweak_tb:1,off,16,,,
35,kappalib:pixel_tweak_tb:1,on,16,,,
36,kappalib:pixel_tweak_tb:1,off,17,,,
36,kappalib:pixel_tweak_tb:1,on,16,,,
37,kappalib:pixel_tweak_tb:1,off,17,,,
37,kappalib:pixel_tweak_tb:1,on,16,,,
38,kappalib:pixel_tweak_tb:1,off,19,,,
38,kappalib:pixel_tweak_tb:1,on,16,,,
39,kappalib:pixel_tweak_tb:1,off,17,,,
39,kappalib:pixel_tweak_tb:1,on,16,,,
40,kappalib:pixel_tweak_tb:1,off,15,,,
40,kappalib:pixel_tweak_tb:1,on,16,,,
41,kappalib:pixel_tweak_tb:1,off,18,,,
41,kappalib:pixel_tweak_tb:1,on,16,,,
42,kappalib:pixel_tweak_tb:1,off,16,,,
42,kappalib:pixel_tweak_tb:1,on,16,,,
43,kappalib:pixel_tweak_tb:1,off,17,,,
43,kappalib:pixel_tweak_tb:1,on,16,,,
44,kappalib:pixel_tweak_tb:1,off,17,,,
44,kappalib:pixel_tweak_tb:1,on,16,,,
45,kappalib:pixel_tweak_tb:1,off,17,,,
45,kappalib:pixel_tweak_tb:1,on,16,,,
46,kappalib:pixel_tweak_tb:1,off,15,,,
46,kappalib:pixel_tweak_tb:1,on,16,,,
47,kappalib:pixel_tweak_tb:1,off,17,,,
47,kappalib:pixel_tweak_tb:1,on,16,,,
48,kappalib:pixel_tweak_tb:1,off,16,,,
48,kappalib:pixel_tweak_tb:1,on,16,,,
49,kappalib:pixel_tweak_tb:1,off,17,,,
49,kappalib:pixel_tweak_tb:1,on,16,,,
50,kappalib:pixel_tweak_tb:1,off,17,,,
50,kappalib:pixel_tweak_tb:1,on,16,,,

