dB20(mag(VF("/net017"))) X,dB20(mag(VF("/net017"))) Y,dB20(mag(VF("/net016"))) X,dB20(mag(VF("/net016"))) Y,dB20(mag(VF("/I73/net15"))) X,dB20(mag(VF("/I73/net15"))) Y,dB20(mag(VF("/I73/net14"))) X,dB20(mag(VF("/I73/net14"))) Y
100,183.3835087681626,100,187.3579653009535,100,159.951875077934,100,207.2502533892014
120.2264434617413,183.3834637570041,120.2264434617413,187.3579202860861,120.2264434617413,159.9519382785401,120.2264434617413,207.2502083743812
144.5439770745928,183.3833987051228,144.5439770745928,187.3578552288796,144.5439770745928,159.9520296355228,144.5439770745928,207.2501433172486
173.7800828749376,183.3833046999767,173.7800828749376,187.3577612159983,173.7800828749376,159.9521616999718,173.7800828749376,207.2500493044706
208.929613085404,183.3831688694503,208.929613085404,187.3576253743214,208.929613085404,159.9523526186588,208.929613085404,207.2499134629405
251.1886431509581,183.3829726370123,251.1886431509581,187.3574291257418,251.1886431509581,159.9526286390615,251.1886431509581,207.2497172145774
301.9951720402017,183.382689208348,301.9951720402017,187.3571456737935,301.9951720402017,159.9530277327313,301.9951720402017,207.2494337629439
363.0780547701014,183.3822799748128,363.0780547701014,187.3567364065655,363.0780547701014,159.9536048545361,363.0780547701014,207.2490244961705
436.515832240166,183.3816893857752,436.515832240166,187.3561457688258,436.515832240166,159.9544395868982,436.515832240166,207.2484338590868
524.8074602497727,183.3808376687333,524.8074602497727,187.3552939814217,524.8074602497727,159.9556472596754,524.8074602497727,207.2475820726277
630.9573444801933,183.379610624651,630.9573444801933,187.3540668355349,630.9573444801933,159.9573952144542,630.9573444801933,207.2463549281044
758.5775750291839,183.3778454767182,758.5775750291839,187.3523015404691,758.5775750291839,159.9599266493766,758.5775750291839,207.2445896350175
912.0108393559099,183.375311719563,912.0108393559099,187.349767570627,912.0108393559099,159.9635958404246,912.0108393559099,207.2420556680295
1096.478196143185,183.3716861069566,1096.478196143185,187.3461416504655,1096.478196143185,159.9689205853981,1096.478196143185,207.238429751991
1318.256738556407,183.3665215884498,1318.256738556407,187.340976687197,1318.256738556407,159.9766659361025,1318.256738556407,207.233264794686
1584.893192461114,183.3592159638497,1584.893192461114,187.3336704192347,1584.893192461114,159.9879457211319,1584.893192461114,207.225958535336
1905.460717963248,183.3489847893592,1905.460717963248,187.3234383138911,1905.460717963248,160.0044388327488,1905.460717963248,207.2157264424394
2290.867652767774,183.3348734563004,2290.867652767774,187.3093256334296,2290.867652767774,160.0286725653711,2290.867652767774,207.2016137799511
2754.228703338167,183.3158654965615,2754.228703338167,187.2903157220386,2754.228703338167,160.0645012313389,2754.228703338167,207.1826038945122
3311.311214825912,183.2912183478315,3311.311214825912,187.2656657439741,3311.311214825912,160.1179036581946,3311.311214825912,207.1579539539023
3981.071705534974,183.2612859268992,3981.071705534974,187.2357292162755,3981.071705534974,160.1983669560372,3981.071705534974,207.1280174802118
4786.300923226385,183.2293382776274,4786.300923226385,187.2037755958837,4786.300923226385,160.3211833119684,4786.300923226385,207.096063937621
5754.399373371572,183.2052978469999,5754.399373371572,187.1797264632624,5754.399373371572,160.5115304962865,5754.399373371572,207.0720149169218
6918.309709189368,183.2131050001855,6918.309709189368,187.1875208959635,6918.309709189368,160.8116360054718,6918.309709189368,207.0798095102719
8317.637711026713,183.304983607771,8317.637711026713,187.2793808374341,8317.637711026713,161.2940060555511,8317.637711026713,207.1716696816474
10000,183.5897547761639,10000,187.5641244896324,10000,162.087575081096,10000,207.456413661472
12022.64434617413,184.2928032670441,12022.64434617413,188.2671322157652,12022.64434617413,163.4344295327861,12022.64434617413,208.1594218516871
14454.39770745928,185.8761745492466,14454.39770745928,189.8504428192701,14454.39770745928,165.8065144888748,14454.39770745928,209.742733107146
17378.00828749377,188.5935185277504,17378.00828749377,192.5676961575018,17378.00828749377,169.4582060942555,17378.00828749377,212.459987350987
